FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF URL,Processed
FOI 26-2380–2026,2026-01-29T12:00:00Z,29 January 2026,FOI 26-2380 – Indigenous Australians Health Program documents related to Oseca Health,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2380-indigenous-australians-health-program-documents-related-to-oseca-health,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2380-indigenous-australians-health-program-documents-related-to-oseca-health.pdf,Downloaded
FOI 26–2502–2026,2026-01-12T12:00:00Z,12 January 2026,FOI 26-2502 – Focus on dementia October 2025 booklet,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2502-focus-on-dementia-october-2025-booklet,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2502-focus-on-dementia-october-2025-booklet.pdf,Downloaded
26-2372–2026,2025-12-22T12:00:00Z,22 December 2025,FOI 26–2372 – Appointments to NDIA Board,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2372-appointments-to-ndia-board,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2372-appointments-to-ndia-board.pdf,Downloaded
"FOI 26–2236, 26–2276, 26–2277, 26–2279–2025",2025-12-19T12:00:00Z,19 December 2025,"FOI 26–2236, 26–2276, 26–2277, 26–2279 – MBS items",https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2236-26-2276-26-2277-26-2279-mbs-items,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2236-26-2276-26-2277-26-2279-mbs-items_0.pdf,Downloaded
FOI 26–2080–2025,2025-12-10T12:00:00Z,10 December 2025,FOI 26–2080 – Documents related to Future Fit,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2080-documents-related-to-future-fit,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2080-documents-related-to-future-fit_0.pdf,Downloaded
FOI 26-2332–2025,2025-12-08T12:00:00Z,8 December 2025,FOI 26-2332 – ChatGPT complaints,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2332-chatgpt-complaints,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2332-chatgpt-complaints_0.pdf,Downloaded
FOI 26–2285–2025,2025-12-08T12:00:00Z,8 December 2025,FOI 26–2285 – Management of B12 Deficiency,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2285-management-of-b12-deficiency,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2285-management-of-b12-deficiency_0.pdf,Downloaded
FOI 26–2151–2025,2025-12-08T12:00:00Z,8 December 2025,FOI 26–2151 – All Documents in 25–0406,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2151-all-documents-in-25-0406,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2151-all-documents-in-25-0406.pdf,Downloaded
FOI 26-2135–2025,2025-12-05T12:00:00Z,5 December 2025,FOI 26-2135 – Sampled documents related to GA304752/ GA304752-V1,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2135-sampled-documents-related-to-ga304752-ga304752-v1,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2135-sampled-documents-related-to-ga304752-ga304752-v1.pdf,Downloaded
FOI 26-2203–2025,2025-12-05T12:00:00Z,5 December 2025,"FOI 26–2203 – Documents relating to Diversity, Equity and Inclusion programs",https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2203-documents-relating-to-diversity-equity-and-inclusion-programs,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2203-documents-relating-to-diversity-equity-and-inclusion-programs.pdf,Downloaded
FOI 26-2264 LD–2025,2025-12-03T12:00:00Z,3 December 2025,FOI 26-2264 LD – NDIS budget modelling documents,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2264-ld-ndis-budget-modelling-documents,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2264-ld-ndis-budget-modelling-documents.pdf,Downloaded
FOI 26–2198–2025,2025-12-02T12:00:00Z,2 December 2025,FOI 26–2198 – Relates to FOI 25–0348 Senate Estimates Brief – Future Fit (document 8),https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2198-relates-to-foi-25-0348-senate-estimates-brief-future-fit-document-8,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2198-relates-to-foi-25-0348-senate-estimates-brief-future-fit-document-8_0.pdf,Downloaded
FOI 26-2050–2025,2025-12-01T12:00:00Z,1 December 2025,FOI 26–2050 – Correspondence about the Future Fit Rollout,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2050-correspondence-about-the-future-fit-rollout,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2050-correspondence-about-the-future-fit-rollout.pdf,Downloaded
FOI 26–2199–2025,2025-12-01T12:00:00Z,1 December 2025,FOI 26–2199 – Aged Care workforce,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2199-aged-care-workforce,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2199-aged-care-workforce_0.pdf,Downloaded
FOI 26-2381–2025,2025-11-20T12:00:00Z,20 November 2025,FOI 26-2381 – Miscellaneous leave requests for Executive Level 1 staff,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2381-miscellaneous-leave-requests-for-executive-level-1-staff,No URL,No PDF
FOI 26–2299–2025,2025-11-12T12:00:00Z,12 November 2025,FOI 26–2299 – Transfer of file to National Archives Australia,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2299-transfer-of-file-to-national-archives-australia,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2299-transfer-of-file-to-national-archives-australia_0.pdf,Downloaded
FOI 26–1926–2025,2025-11-10T12:00:00Z,10 November 2025,FOI 26–1926 – communications between Department and CCV,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1926-communications-between-department-and-ccv,https://www.health.gov.au/sites/default/files/2025-11/foi-26-1926-communications-between-department-and-ccv_0.pdf,Downloaded
FOI 26–2407–2025,2025-11-10T12:00:00Z,10 November 2025,FOI 26–2407 – Aged Care amendment regulations,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2407-aged-care-amendment-regulations,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2407-aged-care-amendment-regulations_0.pdf,Downloaded
FOI 26–1943–2025,2025-11-10T12:00:00Z,10 November 2025,FOI 26–1943 – Roy Morgan Research Finding 9936,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1943-roy-morgan-research-finding-9936,https://www.health.gov.au/sites/default/files/2025-11/foi-26-1943-roy-morgan-research-finding-9936_0.pdf,Downloaded
FOI 26-2268–2025,2025-11-05T12:00:00Z,5 November 2025,FOI 26-2268 – Aged Care Roadmap,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2268-aged-care-roadmap,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2268-aged-care-roadmap.pdf,Downloaded
FOI 26-2217–2025,2025-10-31T12:00:00Z,31 October 2025,FOI 26-2217 – Department Plants Spend,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2217-department-plants-spend,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2217-department-plants-spend.pdf,Downloaded
FOI 26-2068–2025,2025-10-27T12:00:00Z,27 October 2025,FOI 26-2068 – Documents relating to CN3499142,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2068-documents-relating-to-cn3499142,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2068-documents-relating-to-cn3499142.pdf,Downloaded
FOI 26-2066–2025,2025-10-27T12:00:00Z,27 October 2025,FOI 26-2066 – Access to all documents relating to CN3465876-A1,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2066-access-to-all-documents-relating-to-cn3465876-a1,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2066-access-to-all-documents-relating-to-cn3465876-a1.pdf,Downloaded
FOI 26-1977–2025,2025-10-24T12:00:00Z,24 October 2025,FOI 26-1977 – Access to all communications with parties who hold Enterprise Resource Planning software,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1977-access-to-all-communications-with-parties-who-hold-enterprise-resource-planning-software,https://www.health.gov.au/sites/default/files/2025-12/foi-26-1977-access-to-all-communications-with-parties-who-hold-enterprise-resource-planning-software.pdf,Downloaded
FOI 26-2002–2025,2025-10-22T12:00:00Z,22 October 2025,FOI 26-2002 – CN4036947 Amendment,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2002-cn4036947-amendment,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2002-cn4036947-amendment.pdf,Downloaded
FOI 26-2149–2025,2025-10-21T12:00:00Z,21 October 2025,FOI 26-2149 – Number of approved residential aged care places,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2149-number-of-approved-residential-aged-care-places,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2149-number-of-approved-residential-aged-care-places.pdf,Downloaded
FOI 26-1965 MO–2025,2025-10-16T12:00:00Z,16 October 2025,FOI 26-2028 – Digital Mental Health Program,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2028-digital-mental-health-program,No URL,No PDF
FOI 26-2022–2025,2025-10-13T12:00:00Z,13 October 2025,FOI 26-2022 – Reports relating to Queensland Advocacy for Inclusion (QAI),https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2022-reports-relating-to-queensland-advocacy-for-inclusion-qai,No URL,No PDF
FOI 26-1957–2025,2025-10-13T12:00:00Z,13 October 2025,FOI 26-1957 – COVID-19 vaccine recommendations,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1957-covid-19-vaccine-recommendations,No URL,No PDF
FOI 26-1965 MO–2025,2025-10-13T12:00:00Z,13 October 2025,FOI 26-1965 MO – Documents relating to the Bedford Group,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1965-mo-documents-relating-to-the-bedford-group,No URL,No PDF
FOI 26-1952–2025,2025-10-09T12:00:00Z,9 October 2025,"FOI 26-1952 – Documents containing the phrase ""Critical Path""",https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1952-documents-containing-the-phrase-critical-path,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1952-documents-containing-the-phrase-critical-path.pdf,Downloaded
FOI 26-2148–2025,2025-10-08T12:00:00Z,8 October 2025,FOI 26-2148 – Aged Care On-site Pharmacist Measure,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2148-aged-care-on-site-pharmacist-measure,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2148-aged-care-on-site-pharmacist-measure.pdf,Downloaded
FOI 26-1953–2025,2025-09-30T12:00:00Z,30 September 2025,FOI 26-1953 – Medicare Modelling Advice,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1953-medicare-modelling-advice,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1953-medicare-modelling-advice.pdf,Downloaded
FOI 26-1947–2025,2025-09-29T12:00:00Z,29 September 2025,FOI 26-1947 – Mandatory reporting changes to Australian Immunisation Register,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1947-mandatory-reporting-changes-to-australian-immunisation-register,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1947-mandatory-reporting-changes-to-australian-immunisation-register.pdf,Downloaded
FOI 26-1987–2025,2025-09-29T12:00:00Z,29 September 2025,FOI 26-1987 –  FOI Third-Party Consultation Process and Documentation,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1987-foi-third-party-consultation-process-and-documentation,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1987-foi-third-party-consultation-process-and-documentation.pdf,Downloaded
FOI 26-1951–2025,2025-09-25T12:00:00Z,25 September 2025,FOI 26-1951 –  Access to official SES diary entries,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1951-access-to-official-ses-diary-entries,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1951-access-to-official-ses-diary-entries.pdf,Downloaded
FOI 26-1876–2025,2025-09-24T12:00:00Z,24 September 2025,FOI 26-1876 – Roy Morgan Research,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1876-roy-morgan-research,https://www.health.gov.au/sites/default/files/2025-10/foi-26-1876-roy-morgan-research.pdf,Downloaded
FOI 26-2048–2025,2025-09-22T12:00:00Z,22 September 2025,FOI 26-2048 – Import permit records for MK-677 & CJC–1295,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2048-import-permit-records-for-mk-677-cjc-1295,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2048-import-permit-records-for-mk-677-cjc-1295.pdf,Downloaded
FOI 26-2086–2025,2025-09-22T12:00:00Z,22 September 2025,FOI 26-2086 – meals services,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2086-meals-services,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2086-meals-services.pdf,Downloaded
25-0493 LD–2025,2025-09-22T12:00:00Z,22 September 2025,FOI 25-0493 LD – Documents related to Future Fit,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0493-ld-documents-related-to-future-fit,https://www.health.gov.au/sites/default/files/2026-01/foi-25-0493-ld-documents-related-to-future-fit.pdf,Downloaded
FOI 2339-2021,2025-09-16T12:00:00Z,16 September 2025,FOI request 2339 – COVID-19 Report from Grant Assessment Committee,https://www.health.gov.au/resources/foi-disclosure-log/foi-request-2339-covid-19-report-from-grant-assessment-committee,https://www.health.gov.au/sites/default/files/2025-09/foi-request-2339-covid-19-report-from-grant-assessment-committee.pdf,Downloaded
FOI 26-2012–2025,2025-09-11T12:00:00Z,11 September 2025,FOI 26-2012 – data on the Home Care Packages Program,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2012-data-on-the-home-care-packages-program,https://www.health.gov.au/sites/default/files/2025-10/foi-26-2012-data-on-the-home-care-packages-program.pdf,Downloaded
FOI DSS 54069–2025,2025-09-08T12:00:00Z,8 September 2025,DSS 54069 – Foundational Supports consultation,https://www.health.gov.au/resources/foi-disclosure-log/dss-54069-foundational-supports-consultation,No URL,No PDF
FOI 26-1905–2025,2025-09-04T12:00:00Z,4 September 2025,FOI 26-1905 – List of reviews mentioned in the Incoming Government Brief,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1905-list-of-reviews-mentioned-in-the-incoming-government-brief,https://www.health.gov.au/sites/default/files/2025-09/foi-26-1905-list-of-reviews-mentioned-in-the-incoming-government-brief.pdf,Downloaded
FOI 26-1944 –2025,2025-08-25T12:00:00Z,25 August 2025,FOI 26-1944 – Survey of Aged Care Homes 2023-24,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1944-survey-of-aged-care-homes-2023-24,No URL,No PDF
FOI 25-0505 LD–2025,2025-08-21T12:00:00Z,21 August 2025,FOI 25-0505 LD – Correspondence between Department and Third Party,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0505-ld-correspondence-between-department-and-third-party,No URL,No PDF
FOI 25-0506 LD MO–2025,2025-08-19T12:00:00Z,19 August 2025,FOI 25-0506 LD MO  – NDIS Independent Pricing and Communication Strategy,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0506-ld-mo-ndis-independent-pricing-and-communication-strategy,No URL,No PDF
FOI 25-0450 LD–2025,2025-08-18T12:00:00Z,18 August 2025,FOI 25-0450 LD – Documents relating to Headspace Whyalla,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0450-ld-documents-relating-to-headspace-whyalla,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0450-ld-documents-relating-to-headspace-whyalla.pdf,Downloaded
FOI 26-1882–2025,2025-08-17T12:00:00Z,17 August 2025,"FOI 26-1882 – Devin case, US gender dysphoria report",https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1882-devin-case-us-gender-dysphoria-report,https://www.health.gov.au/sites/default/files/2025-08/foi-26-1882-devin-case-us-gender-dysphoria-report.pdf,Downloaded
FOI 25-0449 LD–2025,2025-08-11T12:00:00Z,11 August 2025,FOI 25-0449 LD – Headspace Port Lincoln,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0449-ld-headspace-port-lincoln,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0449-ld-headspace-port-lincoln.pdf,Downloaded
FOI 26-1877–2025,2025-08-06T12:00:00Z,6 August 2025,FOI 26-1877 – Survey of Aged Care Homes data,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-1877-survey-of-aged-care-homes-data,https://www.health.gov.au/sites/default/files/2025-08/foi-26-1877-survey-of-aged-care-homes-data.pdf,Downloaded
FOI 25–0472 LD–2025,2025-08-04T12:00:00Z,4 August 2025,FOI 25-0472 LD – Toilet paper correspondence,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0472-ld-toilet-paper-correspondence,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0472-ld-toilet-paper-correspondence.pdf,Downloaded
FOI 25-0371 LD-2025,2025-07-31T12:00:00Z,31 July 2025,FOI 25-0371 LD – Correspondence related to Future Fit,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0371-ld-correspondence-related-to-future-fit,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0371-ld-correspondence-related-to-future-fit.pdf,Downloaded
FOI 25-0421 LD,2025-07-30T12:00:00Z,30 July 2025,FOI 25-0421 LD – Legal Matter,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0421-ld-legal-matter,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0421-ld-legal-matter.pdf,Downloaded
FOI 25-0453 LD–2025,2025-07-28T12:00:00Z,28 July 2025,FOI 25-0453 LD – Documents for release,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0453-ld-documents-for-release,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0453-ld-documents-for-release.pdf,Downloaded
FOI 25-0511 LD–2025,2025-07-28T12:00:00Z,28 July 2025,FOI 25-0511 LD – Aged Care Capital Assistance Program Round 2,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0511-ld-aged-care-capital-assistance-program-round-2,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0511-ld-aged-care-capital-assistance-program-round-2.pdf,Downloaded
FOI 25-0398 LD IR–2025,2025-07-28T12:00:00Z,28 July 2025,FOI 25-0398 LD IR – Grant opportunity GO6626 recipients,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0398-ld-ir-grant-opportunity-go6626-recipients,https://www.health.gov.au/sites/default/files/2025-10/foi-25-0398-ld-ir-grant-opportunity-go6626-recipients.pdf,Downloaded
FOI 25–0458-2026,2025-07-24T12:00:00Z,24 July 2025,FOI 25–0458 – Letter from Western NSW PHN – CEO Appointment,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0458-letter-from-western-nsw-phn-ceo-appointment,https://www.health.gov.au/sites/default/files/2026-01/foi-25-0458-letter-from-western-nsw-phn-ceo-appointment.pdf,Downloaded
FOI 25-0458 LD–2025,2025-07-24T12:00:00Z,24 July 2025,FOI 25-0458 LD – Appointment of Western NSW PHN CEO,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0458-ld-appointment-of-western-nsw-phn-ceo,https://www.health.gov.au/sites/default/files/2026-01/foi-25-0458-ld-appointment-of-western-nsw-phn-ceo.pdf,Downloaded
FOI 25-0428 LD–2025,2025-07-21T12:00:00Z,21 July 2025,FOI 25-0428 LD – Assistive Technology Loans Scheme Trial Evaluation,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0428-ld-assistive-technology-loans-scheme-trial-evaluation,https://www.health.gov.au/sites/default/files/2025-07/foi-25-0428-ld-assistive-technology-loans-scheme-trial-evaluation.pdf,Downloaded
FOI 25-0466 LD–2025,2025-07-21T12:00:00Z,21 July 2025,FOI 25-0466 LD – Costing for CDM Framework changes 2023/24 budget,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0466-ld-costing-for-cdm-framework-changes-202324-budget,https://www.health.gov.au/sites/default/files/2025-10/foi-25-0466-ld-costing-for-cdm-framework-changes-2023-24-budget.pdf,Downloaded
FOI 25-0377 LD–2025,2025-07-21T12:00:00Z,21 July 2025,FOI 25-0377 LD – Documents related to Future Fit Transition Project,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0377-ld-documents-related-to-future-fit-transition-project,https://www.health.gov.au/sites/default/files/2025-08/foi-25-0377-ld-documents-related-to-future-fit-transition-project.pdf,Downloaded
FOI 26-0433 LD–2025,2025-07-16T12:00:00Z,16 July 2025,FOI 25-0433 LD – email referred to in FOI 0433,https://www.health.gov.au/resources/foi-disclosure-log/foi-25-0433-ld-email-referred-to-in-foi-0433,https://www.health.gov.au/sites/default/files/2025-10/foi-25-0433-ld-email-referred-to-in-foi-0433.pdf,Downloaded
