FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
FOI 26-2617–2026,2026-02-20T12:00:00Z,20 February 2026,FOI 26-2617 – Medical Treatment Overseas Program (MTOP) MTOP applications,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2617-medical-treatment-overseas-program-mtop-mtop-applications,1,1,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2617-medical-treatment-overseas-program-mtop-mtop-applications.pdf,Downloaded
FOI 26-2618–2026,2026-02-19T12:00:00Z,19 February 2026,FOI 26-2618 – Medical Practitioners – Non-Referred MBS Telehealth Services fact sheet,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2618-medical-practitioners-non-referred-mbs-telehealth-services-fact-sheet,1,1,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2618-medical-practitioners-non-referred-mbs-telehealth-services-fact-sheet.pdf,Downloaded
FOI 26-2527–2026,2026-02-06T12:00:00Z,6 February 2026,FOI 26-2527 – List of requests received from 02/24 to 04/24 and 08/25 and 10/25,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2527-list-of-requests-received-from-0224-to-0424-and-0825-and-1025,1,1,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2527-list-of-requests-received-from-02-24-to-04-24-and-08-25-and-10-25.pdf,Downloaded
FOI 26-2380–2026,2026-01-29T12:00:00Z,29 January 2026,FOI 26-2380 – Indigenous Australians Health Program documents related to Oseca Health,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2380-indigenous-australians-health-program-documents-related-to-oseca-health,1,1,https://www.health.gov.au/sites/default/files/2026-02/foi-26-2380-indigenous-australians-health-program-documents-related-to-oseca-health.pdf,Downloaded
FOI 26–2502–2026,2026-01-12T12:00:00Z,12 January 2026,FOI 26-2502 – Focus on dementia October 2025 booklet,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2502-focus-on-dementia-october-2025-booklet,1,1,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2502-focus-on-dementia-october-2025-booklet.pdf,Downloaded
FOI 26-2372–2026,2025-12-22T12:00:00Z,22 December 2025,FOI 26–2372 – Appointments to NDIA Board,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2372-appointments-to-ndia-board,1,1,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2372-appointments-to-ndia-board.pdf,Downloaded
"FOI 26–2236, 26–2276, 26–2277, 26–2279–2025",2025-12-19T12:00:00Z,19 December 2025,"FOI 26–2236, 26–2276, 26–2277, 26–2279 – MBS items",https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2236-26-2276-26-2277-26-2279-mbs-items,1,1,https://www.health.gov.au/sites/default/files/2025-12/foi-26-2236-26-2276-26-2277-26-2279-mbs-items_0.pdf,Downloaded
FOI 26–2080–2025,2025-12-10T12:00:00Z,10 December 2025,FOI 26–2080 – Documents related to Future Fit,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2080-documents-related-to-future-fit,1,1,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2080-documents-related-to-future-fit_0.pdf,Downloaded
FOI 26–2285–2025,2025-12-08T12:00:00Z,8 December 2025,FOI 26–2285 – Management of B12 Deficiency,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2285-management-of-b12-deficiency,1,1,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2285-management-of-b12-deficiency_0.pdf,Downloaded
FOI 26–2151–2025,2025-12-08T12:00:00Z,8 December 2025,FOI 26–2151 – All Documents in 25–0406,https://www.health.gov.au/resources/foi-disclosure-log/foi-26-2151-all-documents-in-25-0406,1,1,https://www.health.gov.au/sites/default/files/2026-01/foi-26-2151-all-documents-in-25-0406.pdf,Downloaded
